"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
HEVC;1430.96;42.25;96.97;0.82;5.89;5.25;;;
HEVC;1748.53;42.64;97.47;0.88;6.27;5.50;;;
HEVC;2067.28;42.94;97.83;0.91;6.57;5.71;;;
HEVC;2384.47;43.17;98.06;0.94;6.83;5.87;;;
HEVC;2721.3;43.38;98.25;0.98;7.05;6.05;;;
HEVC;3029.78;43.54;98.42;1.00;7.29;6.32;;;
HEVC;3363.29;43.69;98.58;1.04;7.53;6.52;;;
HEVC;3677.48;43.8;98.68;1.05;7.70;6.63;;;
HEVC;3999.29;43.91;98.78;1.08;7.88;6.88;;;
HEVC;4333.97;44.08;98.9;1.13;8.28;7.17;;;
HEVC;4957.46;44.15;98.95;1.16;8.40;7.42;;;
HEVC;5292.85;44.23;99.02;1.18;8.66;7.55;;;
